brand,model,year,price,dummy
Уаз,Автобус (2206),2021,840 000 ₽,1
Renault,Arkana,2021,1 660 000 ₽,1
Lada,Vesta SW,2021,809 900 ₽,1
Hyundai,Solaris NEW,2021,831 000 ₽,1
Kia,Sportage,2021,1 857 900 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Citroen,C5 Aircross,2021,2 749 000 ₽,1
Kia,Rio NEW,2021,1 035 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Suzuki,Jimny,2021,1 919 990 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Lada,Granta универсал,2021,535 500 ₽,1
Lada,Vesta SW Cross,2021,872 900 ₽,1
Jeep,Grand Cherokee,2021,4 305 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Renault,Logan Stepway,2021,842 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Hyundai,Solaris NEW,2021,881 000 ₽,1
Lada,Largus фургон NEW,2021,684 900 ₽,1
Lada,Vesta SW Cross,2021,872 900 ₽,1
Hyundai,Solaris NEW,2021,886 000 ₽,1
Renault,Kaptur,2021,1 360 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Suzuki,Jimny,2021,1 709 990 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,K5,2021,1 992 900 ₽,1
Lada,Largus фургон NEW,2021,791 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Citroen,Jumper фургон,2021,2 301 900 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Peugeot,Boxer,2021,2 341 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
